일자,구분,1회차접종(당일실적),1회차접종(당일누계),2회차접종(당일실적),2회차접종(당일누계),
6.11. 24시 기준,합계,792835,11387256,235748,2873862,
6.11. 24시 기준,서울,165265,2070561,55544,504536,
6.11. 24시 기준,부산,59838,829765,14135,173791,
6.11. 24시 기준,대구,33748,469662,8542,121363,
6.11. 24시 기준,인천,45600,583240,13948,139487,
6.11. 24시 기준,광주,19935,328834,7122,92518,
6.11. 24시 기준,대전,19590,301431,5483,78705,
6.11. 24시 기준,울산,15918,208885,5356,51641,
6.11. 24시 기준,세종,4386,55067,1867,15612,
6.11. 24시 기준,경기,194438,2532280,60128,628144,
6.11. 24시 기준,강원,25538,418037,6849,102332,
6.11. 24시 기준,충북,22939,400026,6761,100395,
6.11. 24시 기준,충남,34104,527880,8891,137975,
6.11. 24시 기준,전북,28421,525572,8170,137138,
6.11. 24시 기준,전남,29016,581355,7260,173758,
6.11. 24시 기준,경북,38166,653233,10226,179200,
6.11. 24시 기준,경남,46855,755268,12753,201640,
6.11. 24시 기준,제주,9078,146160,2713,35627,
6.12. 24시 기준,합계,386223,11802287,117602,2992129,
6.12. 24시 기준,서울,82931,2157609,28724,533379,
6.12. 24시 기준,부산,28308,859581,7512,181337,
6.12. 24시 기준,대구,17108,488196,4770,126184,
6.12. 24시 기준,인천,24123,608971,5808,145311,
6.12. 24시 기준,광주,10420,340178,3618,96212,
6.12. 24시 기준,대전,8554,310728,2611,81324,
6.12. 24시 기준,울산,7079,216599,2233,53886,
6.12. 24시 기준,세종,2452,57719,1069,16683,
6.12. 24시 기준,경기,108614,2649129,32130,660428,
6.12. 24시 기준,강원,8874,428672,3104,105495,
6.12. 24시 기준,충북,10918,411919,2691,103094,
6.12. 24시 기준,충남,13609,542614,4244,142227,
6.12. 24시 기준,전북,12452,538969,3349,140492,
6.12. 24시 기준,전남,11852,594119,3497,177347,
6.12. 24시 기준,경북,14195,668806,4109,183319,
6.12. 24시 기준,경남,20750,778004,6598,208249,
6.12. 24시 기준,제주,3984,150474,1535,37162,
6.13. 24시 기준,합계,27481,11830381,11774,3004029,
6.13. 24시 기준,서울,5702,2163259,2522,535930,
